Curso,Professor,Projeto,Resumo
Ciência da Computação (Bacharelado),LARISSA ASTROGILDO DE FREITAS,Centro de Inovação em Inteligência Artificial - Fase 1,"Este projeto tem como objetivo principal desenvolver competências em Inteligência Artificial em empresas do Rio Grande do Sul, com foco na metade sul do Estado. Em específico:

- Identificar oportunidades de uso de técnicas de Inteligência Artificial em processos, produtos ou serviços de empresas consolidadas de diferentes ramos econômicos;
- Identificar requisitos e obstáculos para implantação de projetos de IA nas empresas e propor maneiras de atendê-los e solucioná-los.
- Capacitar empresários, engenheiros, técnicos e outros profissionais a pensarem em soluções baseadas em Inteligência Artificial e compreenderem limitações e aspectos éticos;
- Capacitar estudantes para atuarem no desenvolvimento de soluções de Inteligência Artificial em empresas consolidadas ou empreendimentos próprios, de forma crítica e ética;
"
Ciência da Computação (Bacharelado),LARISSA ASTROGILDO DE FREITAS,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),LARISSA ASTROGILDO DE FREITAS,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,"O projeto tem por objetivo a melhoria da qualidade do ensino e dos indicadores acadêmicos dos cursos de Computação da UFPEL através do desenvolvimento de ações de combate à retenção e à evasão por meio do aprimoramento das práticas pedagógicas, da modernização dos programas dos cursos, da concentração das ofertas de disciplina e da realização de eventos sociais para integração da comunidade discente."
Ciência da Computação (Bacharelado),LEOMAR SOARES DA ROSA JUNIOR,Exploração de Técnicas de Proteção e Compressão de Sinais usando Circuitos VLSI Dedicados e Eficientes Energeticamente,"O objetivo principal deste projeto é buscar soluções eficientes energeticamente  por meio do projeto de circuitos integrados VLSI dedicados para computar os três tarefas importantes para o suporte da assistência médica inteligente: (i) inserção e extração de marca d’água, (ii) encriptação e (iii) compressão de imagens de alta resolução. Como tais tarefas são computacionalmente intensivas e estão fortemente baseadas em operações matemáticas envolvendo transformadas de diferentes tipos, este trabalho investiga também a exploração do espaço de projeto para uso da computação aproximada a fim de encontrar soluções com melhor custo-benefício entre desempenho, área, consumo energético e erros. Com a execução do projeto espera-se também contribuir com a formação de mão-de-obra qualificada para o projeto de circuitos integrados a fim de suprir a região e o país com profissionais qualificados.

Para atingir tais objetivos principais, alguns objetivos específicos são estabelecidos:

Revisar a literatura para encontrar lacunas no estado da arte de soluções aos três eixos do projeto.
Propor soluções alternativas às tarefas abordadas nos três eixos de projeto buscando garantir os requisitos de segurança exigidos pela literatura.
Projetar soluções em hardware usando circuitos VLSI dedicados.
Explorar o espaço de projeto para as soluções encontradas nos três eixos desta proposta usando estratégias de computação aproximada de modo a encontrar o melhor custo-benefício em termos energéticos e precisão satisfatórios para imagens médicas de alta resolução.
"
Ciência da Computação (Bacharelado),LEOMAR SOARES DA ROSA JUNIOR,Desenvolvimento de soluções educacionais utilizando hardware e software,"O objetivo geral deste projeto é desenvolver e implementar soluções educacionais inovadoras baseadas em hardware, destinadas tanto ao ensino básico quanto ao ensino superior, com o propósito de favorecer e potencializar os processos de ensino e aprendizagem.

Com foco no Ensino Fundamental I, particularmente na fase de alfabetização, o projeto visa à criação de ferramentas interativas que estimulem o desenvolvimento da leitura, escrita e raciocínio lógico-matemático, promovendo uma aprendizagem mais lúdica, significativa e efetiva.

No âmbito do ensino superior, o projeto tem como meta o desenvolvimento de soluções para o ensino e aprendizagem do CAD (Computer Aided Design), facilitando a manipulação, interpretação e criação de desenhos técnicos em plataformas digitais. A finalidade é permitir aos estudantes uma experiência prática e interativa, contribuindo para a formação de profissionais capacitados para atender às demandas contemporâneas da indústria e do setor de tecnologia."
Ciência da Computação (Bacharelado),LEOMAR SOARES DA ROSA JUNIOR,Programa de Educação Tutorial - PET Computação,"Promover a formação ampla e de qualidade acadêmica dos alunos de graduação envolvidos direta ou indiretamente com o programa, estimulando a fixação de valores que reforcem a cidadania e a consciência social de todos os participantes e a melhoria dos cursos de graduação."
Ciência da Computação (Bacharelado),LEOMAR SOARES DA ROSA JUNIOR,Gurias da Comp,"O objetivo geral do projeto ""Gurias da Comp"" é promover a inclusão, o apoio e a retenção de mulheres na área de Computação e tecnologias afins, através da criação de espaços seguros para diálogo, compartilhamento de experiências, e desenvolvimento de estratégias para superação dos desafios enfrentados por mulheres nesse campo. Visa, adicionalmente, fomentar a equidade de gênero em ambientes acadêmicos e profissionais, bem como despertar o interesse de jovens estudantes femininas pelas disciplinas STEM, contribuindo para a construção de uma comunidade tecnológica mais diversa e inclusiva."
Ciência da Computação (Bacharelado),LEOMAR SOARES DA ROSA JUNIOR,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,"O projeto tem por objetivo a melhoria da qualidade do ensino e dos indicadores acadêmicos dos cursos de Computação da UFPEL através do desenvolvimento de ações de combate à retenção e à evasão por meio do aprimoramento das práticas pedagógicas, da modernização dos programas dos cursos, da concentração das ofertas de disciplina e da realização de eventos sociais para integração da comunidade discente."
Ciência da Computação (Bacharelado),LEOMAR SOARES DA ROSA JUNIOR,Universidade Aberta Para Idosos - UNAPI,"Oportunizar ao idoso um espaço de aprendizado, de qualidade de vida, inclusão social, conhecimento científico, de troca de experiências e informações, reflexão e manutenção e/ou resgate da cidadania; partindo da perspectiva da educação continuada disseminada no contexto acadêmico."
Ciência da Computação (Bacharelado),LEOMAR SOARES DA ROSA JUNIOR,PRAE ACOLHE!,"Promover ação de acolhida à população em geral e comunidade acadêmica UFPel  para atendimento preventivo em Saúde, divulgando a oferta de serviços e ações que visem o acolhimento em saúde e a orientação pedagógica dos estudantes da UFPel por meio da articulação das iniciativas já existentes na PRAE e outros projetos institucionais e secretarias de saúde.

"
Ciência da Computação (Bacharelado),LISANE BRISOLARA DE BRISOLARA,Aprendizagem de programação por pares IA-Humano: Explorando o Potencial do ChatGPT para a aprendizagem de Programação,"O objetivo primário deste estudo é investigar a eficácia do uso do ChatGPT, um Modelo de Linguagem de Grande Escala, como um par de programação, na promoção da aprendizagem de programação de alunos iniciantes em cursos de ciências da computação. Em particular, o estudo pretende avaliar se a interação com o ChatGPT pode melhorar a compreensão dos alunos sobre os conceitos de programação, aumentar sua capacidade de resolução de problemas de programação, e melhorar sua percepção da atividade de programação. A intenção é fornecer insights valiosos que possam informar práticas pedagógicas inovadoras na educação em programação, bem como contribuir para a literatura de pesquisa existente sobre a aplicação de inteligência artificial na educação.
"
Ciência da Computação (Bacharelado),LISANE BRISOLARA DE BRISOLARA,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,"1	Desenvolver e experimentar um sistema de monitoramento de pragas baseado em armadilhas inteligentes capazes de:

1.1	Atuar de forma autônoma, reduzindo significativamente a necessidade de intervenção humana;

1.2	Aumentar a resolução temporal de dados de monitoramento, permitindo o levantamento sincronizado de informações; e

1.3	Tornar disponível em tempo real tais informações para os tomadores de decisão.

2	Desenvolver e experimentar um sistema de aplicação aérea de agentes de controle biológicos baseado em veículos aéreos não tripulados capaz de atuar de forma autônoma, cobrindo a área de interesse de forma mais eficiente possível.
"
Ciência da Computação (Bacharelado),LISANE BRISOLARA DE BRISOLARA,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),LISANE BRISOLARA DE BRISOLARA,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,"O projeto tem por objetivo a melhoria da qualidade do ensino e dos indicadores acadêmicos dos cursos de Computação da UFPEL através do desenvolvimento de ações de combate à retenção e à evasão por meio do aprimoramento das práticas pedagógicas, da modernização dos programas dos cursos, da concentração das ofertas de disciplina e da realização de eventos sociais para integração da comunidade discente."
Ciência da Computação (Bacharelado),LISANE BRISOLARA DE BRISOLARA,Desenvolvimento de Ações que visam aproximar os cursos do CDTec das escolas de ensino médio de  Pelotas,O presente projeto tem como objetivo geral desenvolver atividades que visam aproximar e divulgar os cursos do Centro de Desenvolvimento Tecnológico para alunos do ensino médio das escolas de Pelotas.
Ciência da Computação (Bacharelado),LUCIANA FOSS,Propostas Metodológicas para a Introdução do Raciocínio Computacional na Educação,"O projeto tem por objetivo geral propor metodologias de desenvolvimento e de avaliação para consolidação do Raciocínio Computacional (ou Pensamento Computacional, PC) no âmbito da educação.
São objetivos específicos: explorar a Gramática de Grafos, uma linguagem visual e formal, para representação e automatização de soluções na Educação, como forma de promover o PC; desenvolver propostas metodológicas para a consolidação e avaliação do desenvolvimento do PC no nível da Educação Básica; despertar a vocação científica e incentivar talentos para a área de computação; disponibilizar todos os resultados obtidos para a comunidade científica e escolar."
Ciência da Computação (Bacharelado),LUCIANA FOSS,Tech&ApplieD-GM: Aplicações Tecnológicas Baseadas em Computações Flexíveis e Heterogêneas com suporte no ambiente DGM,"O objetivo geral do projeto Tech&ApplieD-GM é contribuir para inovação e pesquisa modelando a incerteza, imprecisão e hesitação pelo uso de lógica fuzzy multivalorada, como suporte à simulação da computação quântica, computação em nuvem, gerenciamento de arquiteturas de memória híbrida e de sistemas na IoT. A proposta contempla uma estrutura robusta para controle de software híbrido no ambiente D-GM, viabilizando a exploração integrada e simultânea da computação distribuída sob arquiteturas masssivamente paralelas.
Objetivos específicos nas estratégias contempladas no projeto estão brevemente descritos logo a seguir.
1. HC-Contexto. Com a dinâmica de migração de um modelo de programação uniforme para um modelo de programação híbrida surgem novos desafios :
(I) Explorar ar o novo paradigma – Heterogeneous Computing (HC), explorando o potencial das distintas
unidades de processamento, de forma integrada e simultânea.
(II) Promover execução integrada entre Central Processing Units (CPUs) e/ou Graphical Processing
Units (GPUs) diante das diferenças de suas arquiteturas, modelos de programação e desempenho.
(III) Integrar arquiteturas massivamente paralelas – General Purpose Graphics Processing Units
(GPGPUs), aplicando o potencial de componentes como multi-core shared memory e processing accelerators
na simulação de aplicações quânticas que usam superposição/emaranhamento de memória e paralelismo
quântico nos processos.
2. FC-Contexto. Na modelagem da incerteza visamos:
(i) estudar propriedades de relações fuzzy em abordagens extendidas da LF, n-dimensionais e/ou multivaloradas,
incluindo investigação das classes de médias, medidas de distância, similaridade entropia, função
de penalidades; e
(i) estudar propriedades de relações fuzzy em abordagens extendidas da LF como intervalos n-dimensionais
e/ou lógicas multivaloradas, incluindo análise de robusttes nas classes de conectivos, investigação de operadores
de dualidade e conjugação, estudo de novas classes de medida (distância, similaridade, entropia,
função de penalidades, inclusão, consenso) e indices de correlação em abordagens intuicionistas da LF;
(ii) fundamentar o desenvolvimento de aplicações na gestão de recursos computacionais, avaliação de aprendizagem
e no processamento de imagens e sinais.
(iii) integrar os resultados teóricos da LF e QC via aplicação da simulação de conectivos e agregadores fuzzy
por operadores quânticos.
3. FC & QC - Contexto. Pela integração destes fundamentos, busca-se o desenvolvimento de novas tecnologias e consolidam-se aplicações em duas abordagens:
(i) qualificar a biblioteca qfuzzy-Analyse, na interpretação de operadores da FL por operadores da QC, com
modelagem via VPE-qGM e simulação no VirD-GM, considerando a abordagem extendida do ambiente
D-GM, via Projeto ApplieD-GM;
(ii) viabilizar soluções para problemas da FL e FC, usufruindo das vantagens e potencialidades da QC.
4. FC&GC&CC-Contexto. O projeto propõe a consolidação do Inf-fCluoD, direcinado ao escalonamento de tarefas em CC, considerando:
(i) tanto com o regime de incerteza destas informações quanto com a imprecisão das computações envolvidas;
(ii) gerenciamento da dinâmica dos recurso e as incertezas das demandas das aplicações e as imprecisões dos estimadores da disponibilidade dos recursos, de forma a disponibilizar o uso da CC de forma transparente
para o usuário.
5. FC&IoT Contexto. O projeto propõe explora a lógica fuzzy para o tratamento da incerteza na definição do grau de importância dos
atributos de qualidade dos recursos disponibilizados na Internet das Coisas (IoT), objetivando:
(i) Contribuir com a integração entre pesquisas em Computação Autônoma (GC) e Computação Flexível (FC);
(ii) Viabilizar a consolidação do modelo para classificação de recursos capaz de analisar a heterogeneidade de
recursos em técnicas de IoT para tratar incertezas gerada pelas divergências dos especialistas na definição
da relevância dos atributos de qualidade dos recursos (QoS);
(iii) Desenvolver a versão intervalar da aplicação e posterior validação do módulo fuzzy.

6. FC&CT - Contexto. Os seguintes objetivos são considerados:
(i) Contribuir com a integração de pesquisas em Computação Flexível (FC) e Pensamento Computacional (CT);
(ii) Viabilizar a consolidação do modelo para classificação de recursos capacitando a análise da heterogeneidade
de recursos em técnicas de IoT para tratar incertezas gerada pelas divergências dos especialistas na definição da relevância dos atributos de qualidade dos recursos (QoS);
(iii) Desenvolver a versão intervalar da aplicação e posterior validação do método SFuzzy-Avalia-E/A;
(iv) Caracterizar a inserção social com suporte ao projeto EXP-PC_UFPEL (Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental), integrando a comunidade acadêmicada da Computação/ UFPEL com comunidade escolar do município de Pelotas.
E ainda, a formação de recursos humanos, desde  graduação, bolsista de IC e TC, mestrandos e doutorando junto ao PPGC/UFPEL estão como metas relevantes do projeto  Tech&ApplieD-GM."
Ciência da Computação (Bacharelado),LUCIANA FOSS,Aprendizagem de programação por pares IA-Humano: Explorando o Potencial do ChatGPT para a aprendizagem de Programação,"O objetivo primário deste estudo é investigar a eficácia do uso do ChatGPT, um Modelo de Linguagem de Grande Escala, como um par de programação, na promoção da aprendizagem de programação de alunos iniciantes em cursos de ciências da computação. Em particular, o estudo pretende avaliar se a interação com o ChatGPT pode melhorar a compreensão dos alunos sobre os conceitos de programação, aumentar sua capacidade de resolução de problemas de programação, e melhorar sua percepção da atividade de programação. A intenção é fornecer insights valiosos que possam informar práticas pedagógicas inovadoras na educação em programação, bem como contribuir para a literatura de pesquisa existente sobre a aplicação de inteligência artificial na educação.
"
Ciência da Computação (Bacharelado),LUCIANA FOSS,"SACCI Pelotas: Rede de Saberes Articulando Ciências, Criatividade e Imaginação","Este projeto tem como objetivo geral integrar a metodologia do Pensamento Computacional no desenvolvimento de habilidades relacionadas a área de ciências, com o propósito de aperfeiçoar e inovar as metodologias de ensino dessa área no ensino Fundamental. "
Ciência da Computação (Bacharelado),LUCIANA FOSS,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),LUCIANO VOLCAN AGOSTINI,Otimizações Algorítmicas e Projeto de Hardware Dedicado para a Compressão de Vídeo em Dispositivos Móveis ,"Este projeto tem como objetivo principal o desenvolvimento de algoritmos otimizados e de arquiteturas de hardware dedicadas de alto desempenho e de baixo consumo para a codificação de vídeo digital de ultra alta resolução em tempo real em dispositivos móveis, com foco nos novos codificadores de vídeo AV1 e VVC.  Devido à crescente demanda pelo processamento de vídeo de alta resolução em dispositivos móveis, seja para captação, armazenamento, transmissão ou reprodução em tempo real, o cenário atual proporciona amplo espaço de trabalho para pesquisas nesta área, onde as contribuições científicas podem ser aplicadas às novas gerações de dispositivos móveis comerciais que deverão possuir suporte a estes codificadores. 
Este trabalho investigará as principais inovações e as etapas críticas do processo de codificação dos codificadores AV1 e VVC (Versatile Video Coding), para o projeto eficiente de hardware de alto desempenho e baixo consumo para atender às demandas do projeto voltado à aplicação em dispositivos móveis. O projeto eficiente de hardware para a codificação de vídeo requer a aplicação de otimizações e simplificações em diferentes níveis, desde a aplicação até o projeto arquitetural e físico. Neste trabalho, novos algoritmos e otimizações/simplificações dos algoritmos existentes nos codificadores AV1 e VVC serão propostas, sempre com foco na obtenção de algoritmos mais eficientes para a implementação em hardware. Além disso, o projeto arquitetural também explorará diversas técnicas para o projeto de circuitos VLSI de baixa potência."
Ciência da Computação (Bacharelado),LUCIANO VOLCAN AGOSTINI,Codificação de Vídeo de Baixo Custo Computacional Auxiliada por Aprendizado de Máquina,"O objetivo principal deste projeto consiste no desenvolvimento de soluções inovadoras para a redução do custo computacional dos codificadores de vídeo estado-da-arte VVC e AV1 e de transcodificadores de vídeo que envolvem os novos formatos e seus antecessores HEVC e VP9, respectivamente. As estratégias propostas serão focadas em otimizações algorítmicas baseadas em modelos computacionais construídos através de técnicas de aprendizado de máquina. As soluções deverão se concentrar nas etapas mais custosas dos processos de codificação, sempre buscando minimizar o custo computacional sem causar perdas significativas na eficiência de codificação. "
Ciência da Computação (Bacharelado),LUCIANO VOLCAN AGOSTINI,Exploração de Computação Aproximada e Armazenamento Aproximado para Sistemas de Codificação de Vídeo Energeticamente Eficientes," principal objetivo deste projeto é gerar contribuições científicas para a redução do consumo de energia em sistemas de codificação de vídeo considerando duas abordagens principais: (1) utilização de computação aproximada no desenvolvimento algoritmos e arquiteturas de hardware dedicadas para as principais etapas presentes em codificadores de vídeo modernos; e (2) utilização de armazenamento aproximado no projeto de memórias dedicadas para sistemas de codificação de vídeos. Além de serem energeticamente eficientes, as soluções desenvolvidas neste projeto não devem comprometer a alta eficiência de codificação proporcionada por codificadores de vídeos atuais, ou seja, baixa taxa de bits e alta qualidade visual.
Outro objetivo deste projeto é na linha de formação de recursos humanos capacitados para realizar pesquisa e desenvolver soluções para a redução do consumo de energia em sistemas de codificação de vídeo. Alunos de iniciação científica, mestrado e doutorado irão participar no desenvolvimento das diversas etapas propostas neste projeto. Nesse sentido, trabalhos de conclusão de curso, dissertações de mestrado e teses de doutorado serão focadas nos objetivos deste projeto.
Finalmente, o projeto também tem como objetivo aumentar a qualidade da pesquisa que é realizada nas áreas de microeletrônica e codificação de vídeo nos grupos de pesquisa Video Technology Research Group (ViTech) e Grupo de Arquiteturas e Circuitos Integrados (GACI) da UFPel. Além disso, contribuir com a pesquisa realizada no Centro de Engenharias e no Programa de Pós-Graduação em Computação (PPGC) da UFPel, da qual este coordenador é membro permanente."
Ciência da Computação (Bacharelado),LUCIANO VOLCAN AGOSTINI,Soluções Eficientes para Codificadores de Vídeo Usando Hardware Dedicado e Aprendizado de Máquina ,"Esse projeto tem como objetivo científico principal gerar contribuições para a área de codificação de vídeos em duas linhas de atuação principais: (i) geração de algoritmos otimizados usando aprendizado de máquina visando reduzir o tempo de execução e manter a eficiência de codificação dos codificadores AV1 e VVC e (ii) projeto de hardware de elevada taxa de processamento e baixo consumo energético para os codificadores e decodificadores do AV1 e VVC. Em ambos os casos, serão selecionadas para investigação as ferramentas de codificação com maiores oportunidades para a geração de contribuições inovadoras.

Além deste objetivo científico, também é objetivo geral deste projeto contribuir para consolidar o Programa de Pós-Graduação em Computação (PPGC) da UFPel e, também, fortalecer a pesquisa nas áreas de microeletrônica e codificação de vídeos na UFPel e na região sul do Rio Grande do Sul. 
"
Ciência da Computação (Bacharelado),LUCIANO VOLCAN AGOSTINI,Algorithms and Architectures for Light Fields Coding,"MAIN GOAL: The main technical goal of this project is to develop algorithms and dedicated hardware architectures for light-fields coding. Novel coding algorithms will be proposed targeting prediction step and residual coding step within the light field codec considering the impact in terms of complexity and memory pressure. Based on the proposed algorithms, novel hardware architectures will be designed including the processing units and memory hierarchies. The specific goals associated to the main technical goals are detailed in the following. 

SPECIFIC GOALS:
The first specific objective of this project is the construction of a survey article about the published solutions for light-field coding in the literature, considering a wide exploration of related works. This survey will be a key reference for the planned activities.  
The development of MV-HEVC-based algorithms for prediction and transform is another specific objective of this project. The main idea is to provide a fast solution for light-field coding, developing a modified version of the HTM reference software (ISO/IEC, 2016a) with support for light-field images and video coding, as an “extension” of the MV-HEVC standard, keeping the MV-HEVC coding structure and using many of the already implemented coding tools. Moreover, many characteristics of light-field images, considering videos captured by cameras with microlens array, will be explored, as intra self-similarity (inter microlens) and the redundancy exploration inside the microlens. The MV-HEVC tools for inter or disparity prediction could be used to explore the inter-microlens similarity, as well as conventional intra prediction techniques could be used to handle intra-microlens redundancies. 
Another specific objective of this project is the development of new codec algorithms for light-field image and video coding. The idea of this effort is to develop optimized solutions for light-field coding with no concern about previous coding standards, providing complete new reference encoder implementations. We intend to develop specific new algorithms for light-field coding based, for example, in non-block based coding (TAUBMAN, 2002), EPI-based coding (Epipolar-Plane Image) (BRITES, 2015), EPI-hypercubes based coding (BRITES, 2015), Graph and N-D transforms (COHEN, 2016), and others, exploiting the characteristics of the light-field images.
This project also intents the development of dedicated hardware architectures for the developed algorithms. The focus is to provide energy-efficient dedicated hardware designs for real-time coding of high definition light-field images and videos. The developed hardware designs will be first evaluated in FPGA prototyping boards for validation and initial results of hardware resources utilization and performance. The development of a demonstration running at the FPGA board is also an objective of this project, where the most prominent solution designed in hardware will be used for promoting the project main results. The ASIC implementation of the developed designs are also planned, considering the use of standard cells libraries. The ASIC synthesis flow will provide more precise and reliable results for in-chip area and energy consumption of the developed designs.
The publication of the achieved results in relevant international and national conferences and journals is also a specific objective of this project. We are also planning at least one patent deposit with the most relevant proposed solution. Finally, a proposal for standardization body is also an important specific objective for this project.
"
Ciência da Computação (Bacharelado),LUCIANO VOLCAN AGOSTINI,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),MARCELO SCHIAVON PORTO,Otimizações Algorítmicas e Projeto de Hardware Dedicado para a Compressão de Vídeo em Dispositivos Móveis ,"Este projeto tem como objetivo principal o desenvolvimento de algoritmos otimizados e de arquiteturas de hardware dedicadas de alto desempenho e de baixo consumo para a codificação de vídeo digital de ultra alta resolução em tempo real em dispositivos móveis, com foco nos novos codificadores de vídeo AV1 e VVC.  Devido à crescente demanda pelo processamento de vídeo de alta resolução em dispositivos móveis, seja para captação, armazenamento, transmissão ou reprodução em tempo real, o cenário atual proporciona amplo espaço de trabalho para pesquisas nesta área, onde as contribuições científicas podem ser aplicadas às novas gerações de dispositivos móveis comerciais que deverão possuir suporte a estes codificadores. 
Este trabalho investigará as principais inovações e as etapas críticas do processo de codificação dos codificadores AV1 e VVC (Versatile Video Coding), para o projeto eficiente de hardware de alto desempenho e baixo consumo para atender às demandas do projeto voltado à aplicação em dispositivos móveis. O projeto eficiente de hardware para a codificação de vídeo requer a aplicação de otimizações e simplificações em diferentes níveis, desde a aplicação até o projeto arquitetural e físico. Neste trabalho, novos algoritmos e otimizações/simplificações dos algoritmos existentes nos codificadores AV1 e VVC serão propostas, sempre com foco na obtenção de algoritmos mais eficientes para a implementação em hardware. Além disso, o projeto arquitetural também explorará diversas técnicas para o projeto de circuitos VLSI de baixa potência."
Ciência da Computação (Bacharelado),MARCELO SCHIAVON PORTO,Codificação de Vídeo de Baixo Custo Computacional Auxiliada por Aprendizado de Máquina,"O objetivo principal deste projeto consiste no desenvolvimento de soluções inovadoras para a redução do custo computacional dos codificadores de vídeo estado-da-arte VVC e AV1 e de transcodificadores de vídeo que envolvem os novos formatos e seus antecessores HEVC e VP9, respectivamente. As estratégias propostas serão focadas em otimizações algorítmicas baseadas em modelos computacionais construídos através de técnicas de aprendizado de máquina. As soluções deverão se concentrar nas etapas mais custosas dos processos de codificação, sempre buscando minimizar o custo computacional sem causar perdas significativas na eficiência de codificação. "
Ciência da Computação (Bacharelado),MARCELO SCHIAVON PORTO,Exploração de Computação Aproximada e Armazenamento Aproximado para Sistemas de Codificação de Vídeo Energeticamente Eficientes," principal objetivo deste projeto é gerar contribuições científicas para a redução do consumo de energia em sistemas de codificação de vídeo considerando duas abordagens principais: (1) utilização de computação aproximada no desenvolvimento algoritmos e arquiteturas de hardware dedicadas para as principais etapas presentes em codificadores de vídeo modernos; e (2) utilização de armazenamento aproximado no projeto de memórias dedicadas para sistemas de codificação de vídeos. Além de serem energeticamente eficientes, as soluções desenvolvidas neste projeto não devem comprometer a alta eficiência de codificação proporcionada por codificadores de vídeos atuais, ou seja, baixa taxa de bits e alta qualidade visual.
Outro objetivo deste projeto é na linha de formação de recursos humanos capacitados para realizar pesquisa e desenvolver soluções para a redução do consumo de energia em sistemas de codificação de vídeo. Alunos de iniciação científica, mestrado e doutorado irão participar no desenvolvimento das diversas etapas propostas neste projeto. Nesse sentido, trabalhos de conclusão de curso, dissertações de mestrado e teses de doutorado serão focadas nos objetivos deste projeto.
Finalmente, o projeto também tem como objetivo aumentar a qualidade da pesquisa que é realizada nas áreas de microeletrônica e codificação de vídeo nos grupos de pesquisa Video Technology Research Group (ViTech) e Grupo de Arquiteturas e Circuitos Integrados (GACI) da UFPel. Além disso, contribuir com a pesquisa realizada no Centro de Engenharias e no Programa de Pós-Graduação em Computação (PPGC) da UFPel, da qual este coordenador é membro permanente."
Ciência da Computação (Bacharelado),MARCELO SCHIAVON PORTO,Soluções Eficientes para Codificadores de Vídeo Usando Hardware Dedicado e Aprendizado de Máquina ,"Esse projeto tem como objetivo científico principal gerar contribuições para a área de codificação de vídeos em duas linhas de atuação principais: (i) geração de algoritmos otimizados usando aprendizado de máquina visando reduzir o tempo de execução e manter a eficiência de codificação dos codificadores AV1 e VVC e (ii) projeto de hardware de elevada taxa de processamento e baixo consumo energético para os codificadores e decodificadores do AV1 e VVC. Em ambos os casos, serão selecionadas para investigação as ferramentas de codificação com maiores oportunidades para a geração de contribuições inovadoras.

Além deste objetivo científico, também é objetivo geral deste projeto contribuir para consolidar o Programa de Pós-Graduação em Computação (PPGC) da UFPel e, também, fortalecer a pesquisa nas áreas de microeletrônica e codificação de vídeos na UFPel e na região sul do Rio Grande do Sul. 
"
Ciência da Computação (Bacharelado),MARCELO SCHIAVON PORTO,Algorithms and Architectures for Light Fields Coding,"MAIN GOAL: The main technical goal of this project is to develop algorithms and dedicated hardware architectures for light-fields coding. Novel coding algorithms will be proposed targeting prediction step and residual coding step within the light field codec considering the impact in terms of complexity and memory pressure. Based on the proposed algorithms, novel hardware architectures will be designed including the processing units and memory hierarchies. The specific goals associated to the main technical goals are detailed in the following. 

SPECIFIC GOALS:
The first specific objective of this project is the construction of a survey article about the published solutions for light-field coding in the literature, considering a wide exploration of related works. This survey will be a key reference for the planned activities.  
The development of MV-HEVC-based algorithms for prediction and transform is another specific objective of this project. The main idea is to provide a fast solution for light-field coding, developing a modified version of the HTM reference software (ISO/IEC, 2016a) with support for light-field images and video coding, as an “extension” of the MV-HEVC standard, keeping the MV-HEVC coding structure and using many of the already implemented coding tools. Moreover, many characteristics of light-field images, considering videos captured by cameras with microlens array, will be explored, as intra self-similarity (inter microlens) and the redundancy exploration inside the microlens. The MV-HEVC tools for inter or disparity prediction could be used to explore the inter-microlens similarity, as well as conventional intra prediction techniques could be used to handle intra-microlens redundancies. 
Another specific objective of this project is the development of new codec algorithms for light-field image and video coding. The idea of this effort is to develop optimized solutions for light-field coding with no concern about previous coding standards, providing complete new reference encoder implementations. We intend to develop specific new algorithms for light-field coding based, for example, in non-block based coding (TAUBMAN, 2002), EPI-based coding (Epipolar-Plane Image) (BRITES, 2015), EPI-hypercubes based coding (BRITES, 2015), Graph and N-D transforms (COHEN, 2016), and others, exploiting the characteristics of the light-field images.
This project also intents the development of dedicated hardware architectures for the developed algorithms. The focus is to provide energy-efficient dedicated hardware designs for real-time coding of high definition light-field images and videos. The developed hardware designs will be first evaluated in FPGA prototyping boards for validation and initial results of hardware resources utilization and performance. The development of a demonstration running at the FPGA board is also an objective of this project, where the most prominent solution designed in hardware will be used for promoting the project main results. The ASIC implementation of the developed designs are also planned, considering the use of standard cells libraries. The ASIC synthesis flow will provide more precise and reliable results for in-chip area and energy consumption of the developed designs.
The publication of the achieved results in relevant international and national conferences and journals is also a specific objective of this project. We are also planning at least one patent deposit with the most relevant proposed solution. Finally, a proposal for standardization body is also an important specific objective for this project.
"
